,State string length (LaTeX text),State string (LaTeX text),State string length (SymPy text),State string (SymPy text),State string length (SymPy tree),State string (SymPy tree),Action,Non-state argument (SymPy text),State type,Action type
0,86,H = \frac{M \omega_0^{2} h_{\mathbf{R_A}}^{2}}{2} + \frac{\Pi_{\mathbf{R_A}}^{2}}{2 M},72,"Eq(H, M*\omega_0**2*h_{\mathbf{R_A}}**2/2 + \Pi_{\mathbf{R_A}}**2/(2*M))",245,"Equality(Symbol('H'), Add(Mul(Rational(1, 2), Symbol('M'), Pow(Symbol('\\omega_0'), Integer(2)), Pow(Symbol('h_{\\mathbf{R_A}}'), Integer(2))), Mul(Rational(1, 2), Pow(Symbol('M'), Integer(-1)), Pow(Symbol('\\Pi_{\\mathbf{R_A}}'), Integer(2)))))",consider_knowledge_base_equation,"Eq(H, M*\omega_0**2*h_{\mathbf{R_A}}**2/2 + \Pi_{\mathbf{R_A}}**2/(2*M))",integrative,equation-state
1,125,H^{(1)} = \sum_{\mathbf{R_A}} \left(\frac{M \omega_0^{2} h_{\mathbf{R_A}}^{2}}{2} + \frac{\Pi_{\mathbf{R_A}}^{2}}{2 M}\right),100,"Eq(H^{(1)}, \sum_{\mathbf{R_A}}*(M*\omega_0**2*h_{\mathbf{R_A}}**2/2 + \Pi_{\mathbf{R_A}}**2/(2*M)))",289,"Equality(Symbol('H^{(1)}'), Mul(Symbol('\\sum_{\\mathbf{R_A}}'), Add(Mul(Rational(1, 2), Symbol('M'), Pow(Symbol('\\omega_0'), Integer(2)), Pow(Symbol('h_{\\mathbf{R_A}}'), Integer(2))), Mul(Rational(1, 2), Pow(Symbol('M'), Integer(-1)), Pow(Symbol('\\Pi_{\\mathbf{R_A}}'), Integer(2))))))",summation_using_NSA,\sum_{\mathbf{R_A}},terminal,symbol-state
2,92,H^{(2)} = \frac{M \omega_0^{2} h_{\mathbf{R_B}}^{2}}{2} + \frac{\Pi_{\mathbf{R_B}}^{2}}{2 M},78,"Eq(H^{(2)}, M*\omega_0**2*h_{\mathbf{R_B}}**2/2 + \Pi_{\mathbf{R_B}}**2/(2*M))",251,"Equality(Symbol('H^{(2)}'), Add(Mul(Rational(1, 2), Symbol('M'), Pow(Symbol('\\omega_0'), Integer(2)), Pow(Symbol('h_{\\mathbf{R_B}}'), Integer(2))), Mul(Rational(1, 2), Pow(Symbol('M'), Integer(-1)), Pow(Symbol('\\Pi_{\\mathbf{R_B}}'), Integer(2)))))",consider_knowledge_base_equation,"Eq(H, M*\omega_0**2*h_{\mathbf{R_B}}**2/2 + \Pi_{\mathbf{R_B}}**2/(2*M))",integrative,equation-state
3,125,H^{(3)} = \sum_{\mathbf{R_B}} \left(\frac{M \omega_0^{2} h_{\mathbf{R_B}}^{2}}{2} + \frac{\Pi_{\mathbf{R_B}}^{2}}{2 M}\right),100,"Eq(H^{(3)}, \sum_{\mathbf{R_B}}*(M*\omega_0**2*h_{\mathbf{R_B}}**2/2 + \Pi_{\mathbf{R_B}}**2/(2*M)))",289,"Equality(Symbol('H^{(3)}'), Mul(Symbol('\\sum_{\\mathbf{R_B}}'), Add(Mul(Rational(1, 2), Symbol('M'), Pow(Symbol('\\omega_0'), Integer(2)), Pow(Symbol('h_{\\mathbf{R_B}}'), Integer(2))), Mul(Rational(1, 2), Pow(Symbol('M'), Integer(-1)), Pow(Symbol('\\Pi_{\\mathbf{R_B}}'), Integer(2))))))",summation_using_NSA,\sum_{\mathbf{R_B}},consequent,symbol-state
4,243,H^{(4)} = \sum_{\mathbf{R_A}} \left(\frac{M \omega_0^{2} h_{\mathbf{R_A}}^{2}}{2} + \frac{\Pi_{\mathbf{R_A}}^{2}}{2 M}\right) + \sum_{\mathbf{R_B}} \left(\frac{M \omega_0^{2} h_{\mathbf{R_B}}^{2}}{2} + \frac{\Pi_{\mathbf{R_B}}^{2}}{2 M}\right),190,"Eq(H^{(4)}, \sum_{\mathbf{R_A}}*(M*\omega_0**2*h_{\mathbf{R_A}}**2/2 + \Pi_{\mathbf{R_A}}**2/(2*M)) + \sum_{\mathbf{R_B}}*(M*\omega_0**2*h_{\mathbf{R_B}}**2/2 + \Pi_{\mathbf{R_B}}**2/(2*M)))",556,"Equality(Symbol('H^{(4)}'), Add(Mul(Symbol('\\sum_{\\mathbf{R_A}}'), Add(Mul(Rational(1, 2), Symbol('M'), Pow(Symbol('\\omega_0'), Integer(2)), Pow(Symbol('h_{\\mathbf{R_A}}'), Integer(2))), Mul(Rational(1, 2), Pow(Symbol('M'), Integer(-1)), Pow(Symbol('\\Pi_{\\mathbf{R_A}}'), Integer(2))))), Mul(Symbol('\\sum_{\\mathbf{R_B}}'), Add(Mul(Rational(1, 2), Symbol('M'), Pow(Symbol('\\omega_0'), Integer(2)), Pow(Symbol('h_{\\mathbf{R_B}}'), Integer(2))), Mul(Rational(1, 2), Pow(Symbol('M'), Integer(-1)), Pow(Symbol('\\Pi_{\\mathbf{R_B}}'), Integer(2)))))))",add_NSA_RHS_to_state_RHS,"Eq(H^{(1)}, \sum_{\mathbf{R_A}}*(M*\omega_0**2*h_{\mathbf{R_A}}**2/2 + \Pi_{\mathbf{R_A}}**2/(2*M)))",consequent,equation-state
5,140,"H^{(5)} = \sum_{S = A,B} \sum_{\mathbf{R_S}} \left(\frac{M \omega_0^{2} h_{\mathbf{R_S}}^{2}}{2} + \frac{\Pi_{\mathbf{R_S}}^{2}}{2 M}\right)",115,"Eq(H^{(5)}, \sum_{S = A,B}*\sum_{\mathbf{R_S}}*(M*\omega_0**2*h_{\mathbf{R_S}}**2/2 + \Pi_{\mathbf{R_S}}**2/(2*M)))",316,"Equality(Symbol('H^{(5)}'), Mul(Symbol('\\sum_{S = A,B}'), Symbol('\\sum_{\\mathbf{R_S}}'), Add(Mul(Rational(1, 2), Symbol('M'), Pow(Symbol('\\omega_0'), Integer(2)), Pow(Symbol('h_{\\mathbf{R_S}}'), Integer(2))), Mul(Rational(1, 2), Pow(Symbol('M'), Integer(-1)), Pow(Symbol('\\Pi_{\\mathbf{R_S}}'), Integer(2))))))",recast_as_summation_over_index_in_summand,,terminal,self-state
6,227,V = \frac{- 3 \left(\hat{\mathbf{n}} \cdot \mathbf{p_{R_A}}\right) \left(\hat{\mathbf{n}} \cdot \mathbf{p_{R_B}}\right) + \mathbf{p_{R_A}} \cdot \mathbf{p_{R_B}}}{4 \pi \epsilon_0 \left|{\mathbf{R_A} - \mathbf{R_B}}\right|^{3}},187,"Eq(V, (-3*Dot(\hat{\mathbf{n}}, \mathbf{p_{R_A}})*Dot(\hat{\mathbf{n}}, \mathbf{p_{R_B}}) + Dot(\mathbf{p_{R_A}}, \mathbf{p_{R_B}}))/(4*pi*\epsilon_0*Abs(\mathbf{R_A} - \mathbf{R_B})**3))",427,"Equality(Symbol('V'), Mul(Rational(1, 4), Pow(pi, Integer(-1)), Pow(Symbol('\\epsilon_0'), Integer(-1)), Pow(Abs(Add(Symbol('\\mathbf{R_A}'), Mul(Integer(-1), Symbol('\\mathbf{R_B}')))), Integer(-3)), Add(Mul(Integer(-1), Integer(3), Dot(Symbol('\\hat{\\mathbf{n}}'), Symbol('\\mathbf{p_{R_A}}')), Dot(Symbol('\\hat{\\mathbf{n}}'), Symbol('\\mathbf{p_{R_B}}'))), Dot(Symbol('\\mathbf{p_{R_A}}'), Symbol('\\mathbf{p_{R_B}}')))))",consider_knowledge_base_equation,"Eq(V, (-3*Dot(\hat{\mathbf{n}}, \mathbf{p_{R_A}})*Dot(\hat{\mathbf{n}}, \mathbf{p_{R_B}}) + Dot(\mathbf{p_{R_A}}, \mathbf{p_{R_B}}))/(4*pi*\epsilon_0*Abs(\mathbf{R_A} - \mathbf{R_B})**3))",integrative,equation-state
7,381,V^{(1)} = \frac{\mathbf{p_{R_A}} \cdot \mathbf{p_{R_B}} - 3 \left(\mathbf{p_{R_A}} \cdot \left(\frac{\mathbf{R_A} - \mathbf{R_B}}{\left|{\mathbf{R_A} - \mathbf{R_B}}\right|}\right)\right) \left(\mathbf{p_{R_B}} \cdot \left(\frac{\mathbf{R_A} - \mathbf{R_B}}{\left|{\mathbf{R_A} - \mathbf{R_B}}\right|}\right)\right)}{4 \pi \epsilon_0 \left|{\mathbf{R_A} - \mathbf{R_B}}\right|^{3}},284,"Eq(V^{(1)}, (Dot(\mathbf{p_{R_A}}, \mathbf{p_{R_B}}) - 3*Dot(\mathbf{p_{R_A}}, (\mathbf{R_A} - \mathbf{R_B})/Abs(\mathbf{R_A} - \mathbf{R_B}))*Dot(\mathbf{p_{R_B}}, (\mathbf{R_A} - \mathbf{R_B})/Abs(\mathbf{R_A} - \mathbf{R_B})))/(4*pi*\epsilon_0*Abs(\mathbf{R_A} - \mathbf{R_B})**3))",721,"Equality(Symbol('V^{(1)}'), Mul(Rational(1, 4), Pow(pi, Integer(-1)), Pow(Symbol('\\epsilon_0'), Integer(-1)), Pow(Abs(Add(Symbol('\\mathbf{R_A}'), Mul(Integer(-1), Symbol('\\mathbf{R_B}')))), Integer(-3)), Add(Dot(Symbol('\\mathbf{p_{R_A}}'), Symbol('\\mathbf{p_{R_B}}')), Mul(Integer(-1), Integer(3), Dot(Symbol('\\mathbf{p_{R_A}}'), Mul(Add(Symbol('\\mathbf{R_A}'), Mul(Integer(-1), Symbol('\\mathbf{R_B}'))), Pow(Abs(Add(Symbol('\\mathbf{R_A}'), Mul(Integer(-1), Symbol('\\mathbf{R_B}')))), Integer(-1)))), Dot(Symbol('\\mathbf{p_{R_B}}'), Mul(Add(Symbol('\\mathbf{R_A}'), Mul(Integer(-1), Symbol('\\mathbf{R_B}'))), Pow(Abs(Add(Symbol('\\mathbf{R_A}'), Mul(Integer(-1), Symbol('\\mathbf{R_B}')))), Integer(-1))))))))",subs_LHS_for_RHS,"Eq(\hat{\mathbf{n}}, (\mathbf{R_A} - \mathbf{R_B})/Abs(\mathbf{R_A} - \mathbf{R_B}))",consequent,equation-state
8,306,V^{(2)} = \frac{\mathbf{p_{R_A}} \cdot \mathbf{p_{R_B}} - 3 \left(\mathbf{p_{R_A}} \cdot \left(\frac{\mathbf{e_j}}{\left|{\mathbf{e_j}}\right|}\right)\right) \left(\mathbf{p_{R_B}} \cdot \left(\frac{\mathbf{e_j}}{\left|{\mathbf{e_j}}\right|}\right)\right)}{4 \pi \epsilon_0 \left|{\mathbf{e_j}}\right|^{3}},205,"Eq(V^{(2)}, (Dot(\mathbf{p_{R_A}}, \mathbf{p_{R_B}}) - 3*Dot(\mathbf{p_{R_A}}, \mathbf{e_j}/Abs(\mathbf{e_j}))*Dot(\mathbf{p_{R_B}}, \mathbf{e_j}/Abs(\mathbf{e_j})))/(4*pi*\epsilon_0*Abs(\mathbf{e_j})**3))",481,"Equality(Symbol('V^{(2)}'), Mul(Rational(1, 4), Pow(pi, Integer(-1)), Pow(Symbol('\\epsilon_0'), Integer(-1)), Pow(Abs(Symbol('\\mathbf{e_j}')), Integer(-3)), Add(Dot(Symbol('\\mathbf{p_{R_A}}'), Symbol('\\mathbf{p_{R_B}}')), Mul(Integer(-1), Integer(3), Dot(Symbol('\\mathbf{p_{R_A}}'), Mul(Symbol('\\mathbf{e_j}'), Pow(Abs(Symbol('\\mathbf{e_j}')), Integer(-1)))), Dot(Symbol('\\mathbf{p_{R_B}}'), Mul(Symbol('\\mathbf{e_j}'), Pow(Abs(Symbol('\\mathbf{e_j}')), Integer(-1))))))))",subs_LHS_for_RHS,"Eq(\mathbf{R_A}, \mathbf{R_B} + \mathbf{e_j})",consequent,equation-state
9,374,V^{(3)} = \frac{\mathbf{p_{R_B}} \cdot \left(- Q \hat{\mathbf{z}} h_{\mathbf{R_A}}\right) - 3 \left(\left(\frac{\mathbf{e_j}}{\left|{\mathbf{e_j}}\right|}\right) \cdot \left(- Q \hat{\mathbf{z}} h_{\mathbf{R_A}}\right)\right) \left(\mathbf{p_{R_B}} \cdot \left(\frac{\mathbf{e_j}}{\left|{\mathbf{e_j}}\right|}\right)\right)}{4 \pi \epsilon_0 \left|{\mathbf{e_j}}\right|^{3}},245,"Eq(V^{(3)}, (Dot(\mathbf{p_{R_B}}, -Q*\hat{\mathbf{z}}*h_{\mathbf{R_A}}) - 3*Dot(\mathbf{e_j}/Abs(\mathbf{e_j}), -Q*\hat{\mathbf{z}}*h_{\mathbf{R_A}})*Dot(\mathbf{p_{R_B}}, \mathbf{e_j}/Abs(\mathbf{e_j})))/(4*pi*\epsilon_0*Abs(\mathbf{e_j})**3))",603,"Equality(Symbol('V^{(3)}'), Mul(Rational(1, 4), Pow(pi, Integer(-1)), Pow(Symbol('\\epsilon_0'), Integer(-1)), Pow(Abs(Symbol('\\mathbf{e_j}')), Integer(-3)), Add(Dot(Symbol('\\mathbf{p_{R_B}}'), Mul(Integer(-1), Symbol('Q'), Symbol('\\hat{\\mathbf{z}}'), Symbol('h_{\\mathbf{R_A}}'))), Mul(Integer(-1), Integer(3), Dot(Mul(Symbol('\\mathbf{e_j}'), Pow(Abs(Symbol('\\mathbf{e_j}')), Integer(-1))), Mul(Integer(-1), Symbol('Q'), Symbol('\\hat{\\mathbf{z}}'), Symbol('h_{\\mathbf{R_A}}'))), Dot(Symbol('\\mathbf{p_{R_B}}'), Mul(Symbol('\\mathbf{e_j}'), Pow(Abs(Symbol('\\mathbf{e_j}')), Integer(-1))))))))",subs_LHS_for_RHS,"Eq(\mathbf{p_{R_A}}, -Q*\hat{\mathbf{z}}*h_{\mathbf{R_A}})",consequent,equation-state
